Шрифт	Начертание	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Зачеркивание	Поднятие текста	Регистр	Выровнять высоту знаков	Сдвиг
Calibri (без засечек)	полужирный курсив	1	черный	одинарная линия	нет цвета	двойное зачеркивание	надстрочное	авто-регистр	да	100
Times New Roman (с засечками)	курсив	50.5	красный	волнистая линия	черный	нет зачеркивания	подстрочное	все прописные	нет	-100
Vivaldi (рукописный)	обычный	4000	красный	пунктирная линия	белый	зачеркнутый	надстрочное	малые прописные	нет	100
Algerian (акцидентный)	полужирный	1	черный	пунктирная линия	красный	нет зачеркивания	надстрочное	авто-регистр	нет	1
Vivaldi (рукописный)	курсив	12	черный	волнистая линия	красный	двойное зачеркивание	нет поднятия	малые прописные	да	0
Times New Roman (с засечками)	полужирный	12	красный	одинарная линия	белый	зачеркнутый	надстрочное	все прописные	да	1
Calibri (без засечек)	полужирный курсив	50.5	красный	волнистая линия	черный	двойное зачеркивание	надстрочное	малые прописные	нет	1
Algerian (акцидентный)	курсив	50.5	черный	пунктирная линия	черный	зачеркнутый	надстрочное	авто-регистр	да	100
Algerian (акцидентный)	полужирный курсив	4000	красный	нет подчеркивания	нет цвета	нет зачеркивания	нет поднятия	все прописные	нет	0
Calibri (без засечек)	обычный	4000	черный	одинарная линия	красный	нет зачеркивания	подстрочное	малые прописные	да	-100
Times New Roman (с засечками)	обычный	12	красный	нет подчеркивания	нет цвета	двойное зачеркивание	подстрочное	авто-регистр	да	-1
Times New Roman (с засечками)	обычный	1	красный	волнистая линия	красный	зачеркнутый	надстрочное	все прописные	нет	100
Vivaldi (рукописный)	полужирный	50.5	черный	нет подчеркивания	нет цвета	двойное зачеркивание	надстрочное	малые прописные	нет	100
Algerian (акцидентный)	обычный	4000	черный	волнистая линия	белый	двойное зачеркивание	надстрочное	авто-регистр	нет	1
Vivaldi (рукописный)	полужирный курсив	4000	черный	пунктирная линия	черный	зачеркнутый	подстрочное	все прописные	нет	-1
Calibri (без засечек)	полужирный	1	черный	волнистая линия	белый	нет зачеркивания	подстрочное	малые прописные	нет	-1
Calibri (без засечек)	полужирный	12	черный	пунктирная линия	черный	зачеркнутый	нет поднятия	авто-регистр	нет	0
Times New Roman (с засечками)	курсив	1	черный	одинарная линия	белый	двойное зачеркивание	нет поднятия	все прописные	нет	0
Algerian (акцидентный)	курсив	50.5	черный	одинарная линия	нет цвета	нет зачеркивания	подстрочное	малые прописные	нет	-1
Vivaldi (рукописный)	курсив	1	красный	нет подчеркивания	нет цвета	зачеркнутый	надстрочное	авто-регистр	да	1
Times New Roman (с засечками)	курсив	4000	черный	пунктирная линия	нет цвета	двойное зачеркивание	подстрочное	авто-регистр	нет	-100
Vivaldi (рукописный)	полужирный курсив	1	черный	одинарная линия	черный	зачеркнутый	подстрочное	все прописные	да	-100
Vivaldi (рукописный)	полужирный	4000	черный	пунктирная линия	белый	нет зачеркивания	подстрочное	малые прописные	да	-100
Times New Roman (с засечками)	обычный	50.5	красный	одинарная линия	черный	нет зачеркивания	нет поднятия	малые прописные	да	0
Calibri (без засечек)	полужирный курсив	12	черный	волнистая линия	нет цвета	нет зачеркивания	надстрочное	все прописные	да	100
Times New Roman (с засечками)	полужирный курсив	50.5	красный	волнистая линия	белый	двойное зачеркивание	подстрочное	авто-регистр	нет	-100
Calibri (без засечек)	полужирный курсив	50.5	черный	пунктирная линия	красный	нет зачеркивания	подстрочное	малые прописные	да	-1
Calibri (без засечек)	курсив	12	черный	нет подчеркивания	нет цвета	зачеркнутый	подстрочное	авто-регистр	да	-100
Algerian (акцидентный)	курсив	12	красный	одинарная линия	нет цвета	двойное зачеркивание	подстрочное	все прописные	да	-100
